50, 185
Mogadishu, Ankara, 445, 740
Islamabad, London, 560, 434
Islamabad, Bangkok, 285, 446
Islamabad, Riyadh, 290, 255
Bangkok, Singapore, 150, 54
Bangkok, Hanoi, 105, 69
Bangkok, Rome, 780, 645
Bangkok, Tokyo, 365, 239
Hanoi, Jakarta, 260, 132
Hanoi, Tokyo, 310, 271
Hanoi, Ankara, 530, 726
Baghdad, Abu Dhabi, 130, 195
Baghdad, Ankara, 185, 69
Baghdad, Cairo, 160, 214
Baghdad, Amman, 110, 170
Warsaw, Paris, 150, 138
Warsaw, London, 155, 20
Warsaw, Rome, 150, 34
Jerusalem, Athens, 130, 90
Jerusalem, Bangkok, 670, 757
Jerusalem, London, 325, 171
Jerusalem, Abu Dhabi, 220, 162
Jerusalem, Berlin, 250, 140
Wellington, Canberra, 220, 146
Wellington, Tokyo, 655, 733
Santiago, Paris, 830, 907
Santiago, Buenos Aires, 120, 75
Santiago, Mexico City, 520, 673
Seoul, Bangkok, 360, 98
Seoul, Singapore, 400, 95
Seoul, Canberra, 615, 191
Seoul, Washington, 815, 1057
Seoul, Paris, 900, 299
Brussels, Paris, 60, 160 
Brussels, London, 80, 68
Brussels, Washington, 520, 1309
Brussels, Lisbon, 180, 75
Amman, Cairo, 90, 161
Amman, Athens, 170, 190
Amman, London, 345, 47
Amman, Paris, 325, 352
Amman, Doha, 165, 516
Lisbon, Rabat, 95, 92
Lisbon, Paris, 160, 36
Lisbon, London, 165, 28
Lisbon, Athens, 235, 254
Lisbon, Dublin, 170, 58 
Lisbon, Berlin, 205, 142
Lisbon, Jerusalem, 315, 440
Singapore, Wellington, 640, 496
Singapore, Brussels, 835, 910
Singapore, Hanoi, 210, 85
Singapore, London, 860, 632
Singapore, Abu Dhabi, 475, 274
Singapore, Kuala Lumpur, 60, 51
Kuala Lumpur, Abu Dhabi, 445, 394
Kuala Lumpur, Doha, 460, 307
Kuala Lumpur, Tokyo, 410, 235
Doha, Singapore, 455, 699
Doha, Bangkok, 380, 691
Doha, Hanoi, 380, 894
Doha, Kuwait City, 85, 93
Kuwait City, Riyadh, 75, 60
Kuwait City, Amman, 135, 98
